hotel_name,price_cny,room_type,review_score,detail_link,location_desc,location_score,distance_to_centre,city,checkin,checkout,scraped_at
Park Inn by Radisson Stuttgart,864,Family Room,8.5,https://www.booking.com/hotel/de/park-inn-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=25423812_402360532_2_2_0&highlighted_blocks=25423812_402360532_2_2_0&matching_block_id=25423812_402360532_2_2_0&sr_pri_blocks=25423812_402360532_2_2_0__22430&from_sustainable_property_sr=1&from=searchresults,0.8 miles from downtown,N/A,0.8 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Maritim Hotel Stuttgart,857,Comfort Family Room,8.2,https://www.booking.com/hotel/de/maritim-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6273217_430590884_2_2_0_512494&highlighted_blocks=6273217_430590884_2_2_0_512494&matching_block_id=6273217_430590884_2_2_0_512494&sr_pri_blocks=6273217_430590884_2_2_0_512494_22243&from_sustainable_property_sr=1&from=searchresults,0.7 miles from downtown,N/A,0.7 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hotel Boulevard,"1,019",Comfort Triple Room,6.6,https://www.booking.com/hotel/de/boulevard-novum-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=80515115_202641864_0_1_0&highlighted_blocks=80515115_202641864_0_1_0&matching_block_id=80515115_202641864_0_1_0&sr_pri_blocks=80515115_202641864_0_1_0__26449&from_sustainable_property_sr=1&from=searchresults,0.3 miles from downtown,N/A,0.3 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hotel Hansa Stuttgart City,854,Deluxe Triple Room,7.5,https://www.booking.com/hotel/de/hansa-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6105105_385859796_0_2_0_1373373&highlighted_blocks=6105105_385859796_0_2_0_1373373&matching_block_id=6105105_385859796_0_2_0_1373373&sr_pri_blocks=6105105_385859796_0_2_0_1373373_22170&from=searchresults,0.6 miles from downtown,N/A,0.6 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hetzel Hotel Stuttgart,"1,160",Comfort Double Room,8.9,https://www.booking.com/hotel/de/hetzel-lowen.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6458015_202553020_2_2_0&highlighted_blocks=6458015_202553020_2_2_0&matching_block_id=6458015_202553020_2_2_0&sr_pri_blocks=6458015_202553020_2_2_0__30093&from=searchresults,2.9 miles from downtown,N/A,2.9 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hotel Spahr,866,Standard Triple Room,8.2,https://www.booking.com/hotel/de/spahr.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=45547204_110115090_2_1_0_1197289&highlighted_blocks=45547204_110115090_2_1_0_1197289&matching_block_id=45547204_110115090_2_1_0_1197289&sr_pri_blocks=45547204_110115090_2_1_0_1197289_22463&from=searchresults,3 miles from downtown,N/A,3 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hotel Astoria Stuttgart City,706,Triple Room,7.0,https://www.booking.com/hotel/de/hotelastoria.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6204308_386115770_0_2_0_525797&highlighted_blocks=6204308_386115770_0_2_0_525797&matching_block_id=6204308_386115770_0_2_0_525797&sr_pri_blocks=6204308_386115770_0_2_0_525797_18320&from=searchresults,0.3 miles from downtown,N/A,0.3 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Internationales Studierendenhotel,872,Double Room,8.8,https://www.booking.com/hotel/de/internationales-studierendenhotel.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=231961502_359882791_2_1_0&highlighted_blocks=231961502_359882791_2_1_0&matching_block_id=231961502_359882791_2_1_0&sr_pri_blocks=231961502_359882791_2_1_0__22617&from=searchresults,1.4 miles from downtown,N/A,1.4 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hilton Garden Inn Stuttgart NeckarPark,"1,080",Superior King Room,7.8,https://www.booking.com/hotel/de/hilton-garden-inn-stuttgart-neckarpark.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6838416_352210975_2_2_0_927212&highlighted_blocks=6838416_352210975_2_2_0_927212&matching_block_id=6838416_352210975_2_2_0_927212&sr_pri_blocks=6838416_352210975_2_2_0_927212_28033&from_sustainable_property_sr=1&from=searchresults,2.6 miles from downtown,N/A,2.6 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
B&B Hotel Stuttgart-Vaihingen,764,Family Room (3 Adults + 1 Child),8.3,https://www.booking.com/hotel/de/b-b-stuttgart-vaihingen.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=30360004_423047608_3_2_0&highlighted_blocks=30360004_423047608_3_2_0&matching_block_id=30360004_423047608_3_2_0&sr_pri_blocks=30360004_423047608_3_2_0__19813&from_sustainable_property_sr=1&from=searchresults,4.3 miles from downtown,N/A,4.3 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
